商品名,種別,説明,価格,写真表示エリア,画像URL,画像URL読込用,,
フルーツボンチ,Special,"色とりどりのゼリーとアイスに、香ばしいぼんち揚を添えました。食べ物か飲み物かは、お客様のご判断にお任せいたします。
見た目も楽しくて、京都らしい和のテイストとぼんち揚げの塩気が絶妙なハーモニーを醸し出します。",800,#NAME?,https://drive.google.com/file/d/1u_ie3gXbyMDD0Gy16UxETc7tOtf6lGX-/view?usp=sharing,https://lh3.googleusercontent.com/d/1u_ie3gXbyMDD0Gy16UxETc7tOtf6lGX-,,
孔雀ラテ,HotDrink,"とにかく賑やか且つ華やかな外観で気分が上がる逸品、味は普通です（皆様の健康と安全を第一に開発いたしております）。
羽根は是非、お守りとしてお持ち帰りくださいませ。10枚集まると次回は10%オフになります（食品用に管理された装飾羽根は洗浄･乾燥･検品のうえ使いまわしております）。",700,#NAME?,https://drive.google.com/file/d/14yf4sAkJBiDFR7YRDKjcqF6jBbIxFjXI/view?usp=sharing,https://lh3.googleusercontent.com/d/14yf4sAkJBiDFR7YRDKjcqF6jBbIxFjXI,,
星屑ソーダ,IcedDrink,"青い星空に金平糖の星屑を散らしました。青色はバタフライピーを使用しておりまして、レモンを加えると、夜空の色が変わります。
レモンをご希望の方はお申し出ください。（青空と甘味を保ちたい場合はレモン不要とご指定ください）",700,#NAME?,https://drive.google.com/file/d/12PjXvADwIDntnNqQdwjM65cfCSURKPc1/view?usp=sharing,https://lh3.googleusercontent.com/d/12PjXvADwIDntnNqQdwjM65cfCSURKPc1,,
月食パフェ,Desserts,"バニラアイスと生クリームで月を覆い、その内側には濃厚なチョコレートの世界が広がります。食べ進めるほど、月は闇に包まれます。
月食パフェは「ただのパフェ」ではなく、召し上がるほどに月食が進行する体験型デザートです。",800,#NAME?,https://drive.google.com/file/d/19K6699Gnm9UU_zlYqcG-PJV8BU9hoQ7i/view?usp=sharing,https://lh3.googleusercontent.com/d/19K6699Gnm9UU_zlYqcG-PJV8BU9hoQ7i,,
カルピスソーダ,IcedDrink,"モコモコの雲のような泡と、月灯りカフェ特有の「星屑」が散りばめられた、見た目は超絶かわいい爽やかなカルピスソーダです。
（満月の影響により、まれに焼酎が混入することがございますが、年齢を見た目だけで判断した上でご提供いたしますので、ご安心くださいませ）",700,#NAME?,https://drive.google.com/file/d/1mlWKxYbklUReMQ0Tt4y18aGfZEBAo34x/view?usp=sharing,https://lh3.googleusercontent.com/d/1mlWKxYbklUReMQ0Tt4y18aGfZEBAo34x,,
パパイヤホィップラテ,Hot,"パパイヤは使用しておりません。パパイヤホィップは色名です。色が気に入ったので採用いたしました。
シナモンとミントがアクセントになっております。",700,#NAME?,https://drive.google.com/file/d/1Y66hakp1fzQi5RR1RiHLh4NSTejZ22Mo/view?usp=sharing,https://lh3.googleusercontent.com/d/1Y66hakp1fzQi5RR1RiHLh4NSTejZ22Mo,,
パパイヤホィップラテ,Iced,"パパイヤは断じて使用しておりません。パパイヤホィップは色名です。色が気に入ったので採用いたしました。
シナモンとミントがアクセントになっております。",700,#NAME?,https://drive.google.com/file/d/1ErDFpWrihZXUvXHM_LY5mReSHOV_8Xhx/view?usp=sharing,https://lh3.googleusercontent.com/d/1ErDFpWrihZXUvXHM_LY5mReSHOV_8Xhx,,
トマトホィップラテ,Food,"ミルクと合わせた、まるで濃厚なポタージュのような、一品です。
ブラックペッパーや乾燥バジルを振り、お食事系ラテとして朝食にもぴったり。アイスとホット、両方ございます。",700,#NAME?,https://drive.google.com/file/d/1-ZoffqBtYUDpq9qMcmpsAmbRFtxxQoJG/view?usp=sharing,https://lh3.googleusercontent.com/d/1-ZoffqBtYUDpq9qMcmpsAmbRFtxxQoJG,,
トマトホィップラテ,IcedDrink,"トマトを丸ごと凍らせてミルクとミキサーにかけた、少し果肉種が残るフローズン・トマトラテ。
完熟したトマトの自然な甘みと、ミルクのコクが合わさって、まるで「高級なフルーツスムージーやイチゴミルク」のようなお味です。",700,#NAME?,https://drive.google.com/file/d/1ByiYcJGLHl_iFqf_tA4jGnkbTEzIr2Vj/view?usp=sharing,https://lh3.googleusercontent.com/d/1ByiYcJGLHl_iFqf_tA4jGnkbTEzIr2Vj,,
ミントティー,Hot,"月灯りで育てた自家製のスペアミントを、これでもかと詰め込んで抽出しております。
蒸し暑い京都の夏もホットでミントティーをどうぞ。",700,#NAME?,https://drive.google.com/file/d/1C3_vBXxImE8FIIsnAY90YDBeeVRSVM6S/view?usp=sharing,https://lh3.googleusercontent.com/d/1C3_vBXxImE8FIIsnAY90YDBeeVRSVM6S,,
ミントティー,Iced,"月灯りで育てた自家製のスペアミントを、これでもかと詰め込んで抽出しております。
蒸し暑い京都の夏に涼やかなミントティーをどうぞ。",700,#NAME?,https://drive.google.com/file/d/1sM2c6lq943GFLSF7acv6dKC_trtyRvMT/view?usp=sharing,https://lh3.googleusercontent.com/d/1sM2c6lq943GFLSF7acv6dKC_trtyRvMT,,
"ミントモヒート
(ノンアルコール)",IcedDrink,スペアミントは、香りも強いだけでなく、気候に強く、大変よく繁殖する植物でございます。スペアミント増殖問題を解決するため、ノンアルコールモヒートとして皆様と地球のお役に立っています。,700,#NAME?,https://drive.google.com/file/d/1sM2c6lq943GFLSF7acv6dKC_trtyRvMT/view?usp=sharing,https://lh3.googleusercontent.com/d/1sM2c6lq943GFLSF7acv6dKC_trtyRvMT,,
ミントクリームケーキ,Desserts,上から、ふんわりととろけるようなミントクリーム、中央は爽やかな酸味のある フロマージュ・ブランのムース、そして下はピスタチオとミントを練り込んだ 特製スポンジ です。淡いミントグリーンのマカロン、薄く削ったホワイトチョコ、そしてカリカリのキャラメリゼ・ピスタチオと、フレッシュなスペアミントを惜しげもなく乗せました。このボリュームと特別感は、ご家族やカップルで仲良くシェアするのにもぴったりです。,800,#NAME?,https://drive.google.com/file/d/1KNFtnoG2G4k2vBZzw0cHWoMyMEhOq9mA/view?usp=sharing,https://lh3.googleusercontent.com/d/1KNFtnoG2G4k2vBZzw0cHWoMyMEhOq9mA,,
ビスクのビスク,Food,"ビスク(甲殻類)スープの滑らかさとビスケットのサクサク感、2つの「ビスク」が1つのボウルの中で完璧に調和した、温かみのあるひと皿です。
甲殻類の旨味が凝縮された、とろりとしたスープの質感。生クリームとハーブの彩りが、濃厚なビスクを引き立てます。",900,#NAME?,https://drive.google.com/file/d/1fgxV3eEXuy1RbzWGsnZJzI-8qqbflIGx/view?usp=sharing,https://lh3.googleusercontent.com/d/1fgxV3eEXuy1RbzWGsnZJzI-8qqbflIGx,,
ピーチパフ,Desserts,"土台は、サクサクで軽いシュー生地（パフ）と、その中にたっぷり詰まった桃風味のムース。
メレンゲ・パフの「ふわっとした、少し儚げな質感」。シュー生地の「サクサク感」、そして桃コンポートの「とろりとした質感」が同居しています。",800,#NAME?,https://drive.google.com/file/d/1YKQwoVBmVbxQsA2sbDf7Y04Q1qBTVJ84/view?usp=sharing,https://lh3.googleusercontent.com/d/1YKQwoVBmVbxQsA2sbDf7Y04Q1qBTVJ84,,
ハニーデューゼリー,Desserts,"みずみずしいハニーデューメロンと、アクセントになる鮮やかなブルーベリー、そして少しのエディブルフラワー（食用花）も添えました。
メロンの淡くて優しい緑色が、地中海の光の中(京都市に海はございません)でさらに美しく輝く、そんなおしゃれで特別なひと皿。",800,#NAME?,https://drive.google.com/file/d/1M8no0QmUvku79GxKogM_CCQSbP2i5_EF/view?usp=sharing,https://lh3.googleusercontent.com/d/1M8no0QmUvku79GxKogM_CCQSbP2i5_EF,,
